Day,Month,Year,Supply,Demand
3,10,2022,16,21
16,8,2022,16,21
8,1,2022,16,21
22,12,2022,16,21
13,12,2022,21,28
18,2,2022,21,25
20,8,2022,21,25
22,2,2022,20,30
29,4,2022,20,27
19,12,2022,20,22
24,2,2022,19,23
15,3,2022,18,28
20,4,2022,17,24
15,2,2022,17,21
18,11,2022,17,21
10,3,2022,16,25
23,9,2022,29,38
25,3,2022,30,31
25,3,2022,30,31
13,11,2022,29,39
31,1,2022,25,30
5,11,2022,24,30
18,2,2022,25,30
14,9,2022,24,29
5,3,2022,6,11
19,3,2022,6,11
12,11,2022,6,11
9,8,2022,6,11
1,9,2022,6,11
2,5,2022,6,12
14,12,2022,6,11
18,10,2022,6,12
7,9,2022,7,12
18,3,2022,7,12
6,6,2022,7,12
1,1,2022,7,12
5,10,2022,7,12
8,3,2022,7,12
16,8,2022,7,12
9,10,2022,7,12
9,9,2022,11,17
26,9,2022,11,17
2,7,2022,11,17
3,7,2022,11,17
14,7,2022,9,12
28,12,2022,8,12
9,4,2022,8,12
24,12,2022,9,12
29,9,2022,25,26
9,7,2022,25,26
25,3,2022,25,26
11,11,2022,25,26
7,10,2022,29,33
27,7,2022,30,30
20,5,2022,29,30
7,10,2022,28,34
6,11,2022,26,31
27,6,2022,27,26
18,4,2022,26,27
11,2,2022,25,32
11,10,2022,24,27
2,4,2022,24,25
26,2,2022,24,25
2,4,2022,23,29
23,7,2022,36,42
28,10,2022,37,35
1,8,2022,37,34
11,12,2022,36,43
20,10,2022,33,34
17,9,2022,32,34
8,2,2022,33,34
19,4,2022,32,34
26,12,2022,10,13
12,7,2022,10,14
7,8,2022,10,13
12,8,2022,10,14
7,3,2022,11,14
19,10,2022,11,14
12,2,2022,11,14
12,8,2022,11,14
2,2,2022,11,14
9,5,2022,11,15
17,10,2022,11,14
3,10,2022,11,14
17,1,2022,12,14
10,6,2022,12,14
4,6,2022,12,14
28,7,2022,12,14
28,6,2022,15,19
11,1,2022,15,19
15,11,2022,15,19
26,1,2022,15,19
2,11,2022,13,14
4,12,2022,13,15
16,2,2022,13,14
1,9,2022,13,14
12,12,2022,24,26
19,9,2022,24,26
19,11,2022,24,26
29,11,2022,24,26
10,2,2022,29,33
8,6,2022,30,29
15,5,2022,29,29
7,10,2022,28,34
9,8,2022,26,31
22,4,2022,27,26
15,10,2022,26,27
10,5,2022,25,32
17,6,2022,24,27
30,11,2022,24,25
4,7,2022,24,25
23,9,2022,23,29
3,3,2022,36,41
15,7,2022,37,35
17,9,2022,37,34
1,3,2022,36,43
14,9,2022,33,34
14,3,2022,32,34
8,12,2022,33,34
9,6,2022,32,34
15,12,2022,10,13
18,7,2022,10,14
26,9,2022,10,14
27,4,2022,10,14
9,3,2022,11,14
9,11,2022,11,14
23,3,2022,11,14
19,1,2022,11,14
5,3,2022,11,13
16,2,2022,11,14
13,9,2022,11,13
28,9,2022,11,14
20,1,2022,11,15
25,11,2022,11,15
5,5,2022,11,15
27,6,2022,11,15
18,11,2022,15,19
5,12,2022,15,19
6,1,2022,15,19
8,7,2022,15,19
4,3,2022,13,14
13,12,2022,13,15
14,10,2022,13,14
11,2,2022,13,14
16,1,2022,24,26
13,5,2022,24,26
25,11,2022,24,26
26,10,2022,24,26
13,10,2022,28,34
17,7,2022,29,33
29,11,2022,30,30
15,9,2022,29,30
23,10,2022,25,32
14,11,2022,26,31
2,8,2022,27,26
22,2,2022,26,27
25,12,2022,23,29
22,9,2022,24,28
16,1,2022,24,25
14,1,2022,24,25
17,4,2022,36,43
7,1,2022,35,41
15,5,2022,37,35
17,3,2022,37,34
29,7,2022,33,34
29,1,2022,33,34
27,2,2022,32,34
7,7,2022,33,35
22,5,2022,10,14
25,2,2022,10,13
2,8,2022,10,14
6,10,2022,10,13
17,3,2022,11,14
5,10,2022,11,14
16,2,2022,11,14
25,10,2022,11,14
23,11,2022,11,14
19,7,2022,11,14
23,6,2022,11,15
26,6,2022,11,14
2,2,2022,12,13
21,7,2022,12,14
8,10,2022,12,14
12,9,2022,12,14
8,3,2022,15,19
4,3,2022,15,19
25,7,2022,15,19
23,2,2022,15,19
16,11,2022,13,14
10,11,2022,13,14
13,11,2022,13,14
18,11,2022,13,14
19,3,2022,24,26
8,8,2022,24,26
24,1,2022,24,26
17,7,2022,24,26
9,12,2022,29,29
13,2,2022,28,34
18,12,2022,29,33
5,10,2022,30,30
7,8,2022,26,27
29,6,2022,25,32
1,6,2022,26,31
10,12,2022,27,26
11,6,2022,24,25
30,12,2022,23,29
2,7,2022,24,28
5,5,2022,24,25
23,5,2022,37,34
1,4,2022,36,43
18,5,2022,35,42
14,6,2022,37,35
19,5,2022,33,34
20,7,2022,32,34
4,3,2022,33,34
21,7,2022,32,34
22,6,2022,10,13
22,3,2022,10,13
11,12,2022,10,13
3,12,2022,10,14
14,11,2022,11,14
6,9,2022,11,14
17,6,2022,11,14
14,9,2022,11,14
25,12,2022,11,14
13,5,2022,11,14
4,12,2022,11,14
13,12,2022,11,15
24,8,2022,11,15
24,12,2022,11,15
26,11,2022,11,15
11,4,2022,11,15
7,11,2022,15,19
8,4,2022,15,19
13,4,2022,15,19
5,2,2022,15,19
25,2,2022,13,14
2,12,2022,13,14
29,6,2022,13,14
5,8,2022,13,14
1,4,2022,24,26
2,1,2022,24,26
22,3,2022,24,26
24,11,2022,24,26
15,8,2022,30,30
19,4,2022,29,30
24,9,2022,28,34
5,2,2022,29,33
20,4,2022,27,26
6,6,2022,26,27
9,7,2022,25,32
10,6,2022,26,31
18,4,2022,24,25
21,3,2022,24,25
9,8,2022,23,29
28,9,2022,24,28
16,10,2022,37,35
29,11,2022,37,34
6,1,2022,37,43
19,3,2022,35,41
27,9,2022,32,34
19,5,2022,33,34
